Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_265.jpg;0;0;1;0;103.1373;193.0097;1.178896;289.8739;358.7991
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_327.jpg;0;0;0;0;103.1372;193.0096;1.17944;289.8759;358.7983
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_393.jpg;0;0;0;0;103.1372;193.0096;1.173819;289.8757;358.8069
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_460.jpg;0;0;0;0;103.1371;193.0096;1.165476;289.8734;358.8224
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_527.jpg;0;0;0;0;103.1371;193.0096;1.167917;289.876;358.8181
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_593.jpg;0;0;0;0;103.137;193.0095;1.172289;289.8759;358.8087
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_661.jpg;0;0;0;0;103.137;193.0095;1.174601;289.8752;358.8025
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_727.jpg;0;0;0;0;103.137;193.0095;1.170172;289.8758;358.808
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_794.jpg;0;0;0;0;103.1369;193.0094;1.172098;289.8757;358.8096
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_860.jpg;0;0;0;0;103.1369;193.0094;1.177176;289.8757;358.8097
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_927.jpg;0;0;0;0;103.1368;193.0094;1.181338;289.8754;358.8135
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_38_993.jpg;0;0;0;0;103.1368;193.0093;1.181712;289.8732;358.8176
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_060.jpg;0;0;0;0;103.1368;193.0093;1.185517;289.8753;358.8096
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_127.jpg;0;0;0;0;103.1367;193.0092;1.173001;289.8749;358.8181
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_193.jpg;0;0;0;0;103.1367;193.0092;1.163951;289.875;358.821
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_260.jpg;0;0;0;0;103.1367;193.0092;1.159034;289.8726;358.8183
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_327.jpg;0;0;0;0;103.1366;193.0092;1.161093;289.8749;358.8108
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_393.jpg;0;0;0;0;103.1365;193.0091;1.165158;289.8749;358.8085
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_459.jpg;0;0;0;0;103.1365;193.0091;1.172027;289.8727;358.8079
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_526.jpg;0;0;0;0;103.1365;193.009;1.178555;289.8744;358.8136
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_593.jpg;0;0;0;0;103.1364;193.009;1.173714;289.8743;358.8281
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_659.jpg;0;0;0;0;103.1364;193.009;1.171207;289.8744;358.8329
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_727.jpg;0;0;0;0;103.1363;193.0089;1.167861;289.872;358.8287
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_793.jpg;0;0.100374;0;0;103.1364;193.0075;1.189951;289.764;358.8222
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_859.jpg;0;0.3007114;0;0.0875437;103.1376;193.0026;1.225894;289.728;358.8634
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_927.jpg;0;0.4977901;0;0.1273067;103.1402;192.993;1.202908;289.537;358.9782
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_39_993.jpg;0;0.6992698;0;0.1825927;103.1437;192.9816;1.190425;289.4806;359.1022
